,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
1966,2022-01-28,51660,Harrisonburg city,VA,1839.9098447990489,71.0,262.0,0.1332757682,53273.0,65667,28.3
1972,2022-01-28,37051,Cumberland County,NC,2937.2251073098428,120.0,429.0,0.0360510844,332861.0,61346,18.4
2004,2022-01-28,18157,Tippecanoe County,IN,505.3308367818956,47.2,153.8,0.0246407,191553.0,71389,18.7
2007,2022-01-28,12086,Miami-Dade County,FL,339.76273000948726,75.565,361.617647058823,0.0027992967,2699428.0,79100,17.1
2017,2022-02-04,25025,Suffolk County,MA,614.305806335505,30.8076923076923,,0.0038673737,796605.0,104274,18.2
2019,2022-02-04,13185,Lowndes County,GA,913.4530965702344,94.9,304.0,0.082261364,115364.0,61180,24.4
2032,2022-02-04,23029,Washington County,ME,1809.182052873981,0.0,,,31491.0,56280,18.9
2037,2022-02-04,16057,Latah County,ID,1575.527840696618,5.4,21.3,0.0136691558,39505.0,66546,18.1
2056,2022-02-04,37051,Cumberland County,NC,1484.1695010100532,117.7,428.8,0.0353601053,332861.0,61346,18.4
2061,2022-02-04,18157,Tippecanoe County,IN,269.34295622884014,40.95,159.5,0.0213778954,191553.0,71389,18.7
2071,2022-02-04,12086,Miami-Dade County,FL,213.1103120654218,53.64,354.938888888888,0.0019870876,2699428.0,79100,17.1
2077,2022-02-04,22033,East Baton Rouge Parish,LA,1059.6916534231293,21.97,155.1,0.0049508409,443763.0,82340,18.0
2083,2022-02-04,51660,Harrisonburg city,VA,927.846467837142,48.3,262.0,0.0906650649,53273.0,65667,28.3
2120,2022-02-11,12086,Miami-Dade County,FL,128.73294039904707,40.278947368421,322.288888888888,0.001492129,2699428.0,79100,17.1
2129,2022-02-11,22033,East Baton Rouge Parish,LA,547.5347896334042,19.7333333333333,,0.0044468181,443763.0,82340,18.0
2134,2022-02-11,28049,Hinds County,MS,459.4485067595498,50.0333333333333,236.333333333333,0.0209522454,238797.0,61247,21.3
2136,2022-02-11,16057,Latah County,ID,929.9833582523931,,22.0,,39505.0,66546,18.1
2142,2022-02-11,25025,Suffolk County,MA,273.01042862225967,20.9,,0.002623634,796605.0,104274,18.2
2150,2022-02-11,51660,Harrisonburg city,VA,575.5618270707473,28.0,262.0,0.0525594579,53273.0,65667,28.3
2154,2022-02-11,13185,Lowndes County,GA,783.19651002099,96.0,304.0,0.0832148677,115364.0,61180,24.4
2163,2022-02-11,37051,Cumberland County,NC,665.4716377618289,49.2,429.0,0.0147809446,332861.0,61346,18.4
2166,2022-02-11,23029,Washington County,ME,1211.0117559906205,0.0,,,31491.0,56280,18.9
2177,2022-02-11,18157,Tippecanoe County,IN,184.24849812209,38.4,153.2,0.0200466712,191553.0,71389,18.7
2196,2022-02-18,28049,Hinds County,MS,280.27925962622635,40.2666666666666,283.719999999999,0.0168623001,238797.0,61247,21.3
2201,2022-02-18,23029,Washington County,ME,765.3160137854226,0.0,,,31491.0,56280,18.9
2208,2022-02-18,13185,Lowndes County,GA,297.28803235811955,70.9,304.0,0.0614576471,115364.0,61180,24.4
2211,2022-02-18,25025,Suffolk County,MA,141.01967739757796,14.3230769230769,,0.0017980149,796605.0,104274,18.2
2215,2022-02-18,16057,Latah County,ID,681.2363952425263,,22.0,,39505.0,66546,18.1
2222,2022-02-18,51660,Harrisonburg city,VA,265.0058949738805,19.1,262.0,0.0358530588,53273.0,65667,28.3
2232,2022-02-18,22033,East Baton Rouge Parish,LA,240.35753597402768,12.4222222222222,,0.002799292,443763.0,82340,18.0
2266,2022-02-18,12086,Miami-Dade County,FL,73.97773897448216,28.7222222222222,312.023529411764,0.0010640114,2699428.0,79100,17.1
2280,2022-02-18,37051,Cumberland County,NC,474.7946300880874,48.15,427.3,0.0144654976,332861.0,61346,18.4
2283,2022-02-25,37051,Cumberland County,NC,235.88822684159217,80.1,425.3,0.0240640988,332861.0,61346,18.4
